Chi-squared (1502.05703),M_dm,~chi_10 (MASS),M1 (MSOFT),M2 (MSOFT),tanbeta (HMIX),mu (HMIX),\Omega_{\chi}h^2,\sigma_{SI proton} (pb),\sigma_v (Km/s),At (Yd),MA (HMIX),M_q3L (MSOFT)
Chi-squared (1502.05703),Dark matter mass (Gev),Neutralino mass (GeV),Bino mass (GeV),Wino mass (GeV),tan \beta,Higgsino mass (GeV),Relic density,Spin independent cross section,\sigma_v (Km/s),Trilinear coupling top (GeV),Pseudoscalar Higgs mass (GeV),Left handed 3rd generation squark mass (GeV)
Statistic,Observable,Particle,Model parameter,Model parameter,Model parameter,Model parameter,Observable,Observable,Observable,Model parameter,Model parameter,Model parameter
36,9.05E+01,9.05E+01,9.41E+01,1.05E+02,5.53E+00,4.27E+02,7.55E-02,9.54312E-10,1.06E-26,3.14E+03,1.02E+03,1.49E+03
39,9.62E+01,9.62E+01,1.01E+02,1.15E+02,8.89E+00,3.36E+02,0.104409452,1.34993E-09,1.18E-26,-3.81E+03,-2.80E+03,3.14E+03
36,9.32E+01,9.32E+01,-1.13E+02,3.07E+02,1.87E+01,1.21E+02,7.36E-02,4.01765E-11,1.66E-26,-3.52E+03,-4.83E+02,3.55E+03
39,9.57E+01,9.57E+01,9.88E+01,1.09E+02,8.32E+00,3.95E+02,8.06E-02,7.80802E-10,1.06E-26,3.23E+03,1.10E+03,1.76E+03
38,9.61E+01,9.61E+01,-1.10E+02,4.04E+02,1.49E+01,1.33E+02,0.138335827,1.48956E-12,1.04E-26,-3.02E+03,4.30E+02,1.86E+03
37,9.43E+01,9.43E+01,1.13E+02,-2.40E+02,2.90E+01,-1.26E+02,7.45E-02,2.27041E-10,1.46E-26,-1.35E+03,6.59E+02,-3.61E+03
37,9.49E+01,9.49E+01,1.12E+02,-3.56E+02,2.66E+01,-1.30E+02,0.125617356,4.41684E-10,1.10E-26,-1.32E+03,6.54E+02,-3.62E+03
36,9.15E+01,9.15E+01,9.55E+01,1.09E+02,6.29E+00,3.71E+02,9.20E-02,1.19629E-09,1.15E-26,3.57E+03,3.76E+03,-3.15E+03
38,1.82E+02,1.82E+02,1.81E+02,-2.07E+02,8.75E+00,7.49E+02,0.202042002,9.09014E-11,1.13E-26,3.78E+03,-4.00E+03,2.81E+03
40,1.86E+02,1.86E+02,1.86E+02,-4.10E+02,2.80E+01,4.60E+02,0.209980777,3.69802E-10,1.12E-26,3.29E+03,-3.87E+03,-3.62E+03
39,9.58E+01,9.58E+01,9.86E+01,1.09E+02,5.04E+00,5.07E+02,9.50E-02,7.49807E-10,7.73E-27,3.21E+03,1.09E+03,1.68E+03
40,9.19E+01,9.19E+01,9.54E+01,1.10E+02,5.91E+00,4.12E+02,0.157554671,1.72569E-09,6.13E-27,3.14E+03,1.10E+03,1.57E+03
35,9.06E+01,9.06E+01,9.41E+01,1.07E+02,5.31E+00,4.29E+02,0.108606573,1.09571E-09,7.94E-27,3.66E+03,3.83E+03,-3.30E+03
38,1.81E+02,1.81E+02,1.81E+02,-5.50E+02,6.78E+00,5.89E+02,0.105945507,1.67395E-10,1.70E-26,-2.94E+03,-1.20E+03,-2.02E+03
39,1.75E+02,1.75E+02,1.74E+02,3.09E+02,1.01E+01,6.77E+02,0.181435437,1.99318E-10,9.58E-27,2.05E+03,8.00E+02,-1.65E+03
39,9.57E+01,9.57E+01,9.94E+01,1.13E+02,8.16E+00,3.59E+02,0.104134326,1.41779E-09,1.08E-26,3.22E+03,1.03E+03,1.56E+03
39,9.53E+01,9.53E+01,9.89E+01,1.14E+02,5.57E+00,4.09E+02,0.155624619,1.97271E-09,7.45E-27,3.22E+03,9.88E+02,1.53E+03
38,9.25E+01,9.25E+01,9.53E+01,1.06E+02,8.53E+00,4.07E+02,0.104993679,8.15021E-10,6.66E-27,3.28E+03,1.08E+03,1.68E+03
39,9.51E+01,9.51E+01,9.86E+01,1.11E+02,6.81E+00,3.97E+02,8.99E-02,1.05743E-09,1.10E-26,3.37E+03,1.04E+03,1.73E+03
39,1.84E+02,1.84E+02,1.82E+02,-7.98E+02,9.52E+00,1.84E+03,0.18070148,3.85236E-12,1.27E-26,3.79E+03,-3.44E+03,-2.58E+03
35,8.94E+01,8.94E+01,9.25E+01,1.04E+02,5.85E+00,4.46E+02,9.43E-02,7.29435E-10,6.83E-27,3.59E+03,3.76E+03,-3.13E+03
40,9.64E+01,9.64E+01,1.01E+02,1.16E+02,6.66E+00,3.72E+02,0.117032275,1.47509E-09,1.05E-26,-3.80E+03,-2.84E+03,3.10E+03
40,1.86E+02,1.86E+02,1.89E+02,-1.99E+02,6.25E+00,4.06E+02,0.169824115,9.4462E-10,1.24E-26,3.71E+03,-3.96E+03,2.89E+03
38,9.39E+01,9.39E+01,9.85E+01,1.10E+02,6.01E+00,3.99E+02,6.33E-02,8.25668E-10,1.58E-26,-3.71E+03,-2.83E+03,3.19E+03
36,1.76E+02,1.76E+02,1.74E+02,-9.25E+02,1.79E+01,2.31E+03,0.139109855,1.98891E-13,1.19E-26,4.05E+03,1.82E+03,3.31E+03
40,9.70E+01,9.70E+01,1.02E+02,1.15E+02,7.17E+00,3.65E+02,8.37E-02,1.10745E-09,1.43E-26,-3.80E+03,-2.84E+03,3.13E+03
33,8.79E+01,8.79E+01,9.24E+01,1.06E+02,1.05E+01,3.16E+02,0.113335025,1.4013E-09,7.42E-27,-3.78E+03,-2.81E+03,3.19E+03
38,1.83E+02,1.83E+02,1.82E+02,-2.87E+02,1.86E+01,6.53E+02,0.125419511,5.5909E-11,1.71E-26,3.09E+03,-3.87E+03,-3.38E+03
39,9.63E+01,9.63E+01,9.98E+01,1.11E+02,5.19E+00,4.91E+02,0.113332485,8.14519E-10,7.06E-27,-3.86E+03,-2.83E+03,3.19E+03
37,9.01E+01,9.01E+01,9.42E+01,1.07E+02,5.50E+00,4.30E+02,0.130321522,1.26268E-09,6.34E-27,-3.75E+03,-2.76E+03,3.20E+03
38,9.38E+01,9.38E+01,9.70E+01,1.08E+02,5.26E+00,4.84E+02,9.17E-02,7.07973E-10,8.05E-27,-3.76E+03,-2.02E+03,-1.36E+03
37,1.80E+02,1.80E+02,1.79E+02,-3.86E+02,1.56E+01,1.05E+03,0.192476854,1.4892E-11,1.15E-26,3.77E+03,-3.88E+03,2.92E+03
34,8.91E+01,8.91E+01,9.32E+01,1.05E+02,8.55E+00,3.57E+02,9.72E-02,1.00195E-09,8.12E-27,-3.80E+03,-2.79E+03,3.09E+03
37,1.79E+02,1.79E+02,1.78E+02,-1.98E+02,9.50E+00,1.85E+03,0.110824338,1.86823E-12,1.65E-26,3.20E+03,-3.69E+03,-3.56E+03
39,1.85E+02,1.85E+02,1.84E+02,-3.46E+02,2.44E+01,5.68E+02,0.1002607,6.16369E-11,1.92E-26,3.79E+03,-3.98E+03,2.85E+03
39,1.85E+02,1.85E+02,-1.84E+02,2.44E+02,4.44E+01,6.04E+02,0.17948914,1.7793E-12,1.28E-26,3.23E+03,1.33E+03,3.18E+03
34,8.83E+01,8.83E+01,-1.08E+02,4.21E+02,1.66E+01,1.17E+02,0.112175895,1.12694E-10,9.78E-27,-3.53E+03,-4.75E+02,3.52E+03
33,8.68E+01,8.68E+01,9.14E+01,1.04E+02,6.21E+00,3.73E+02,8.87E-02,1.21726E-09,8.03E-27,-3.81E+03,-2.76E+03,3.08E+03
37,1.80E+02,1.80E+02,-1.77E+02,-4.26E+02,1.48E+01,6.97E+02,0.166256602,2.26381E-12,1.18E-26,2.25E+03,3.71E+03,-1.92E+03
39,1.85E+02,1.85E+02,-1.82E+02,2.19E+02,4.33E+01,2.17E+03,0.166824749,5.51792E-12,1.32E-26,3.11E+03,9.80E+02,2.98E+03
38,1.82E+02,1.82E+02,-1.80E+02,2.60E+02,3.44E+01,1.22E+03,0.104701133,4.97034E-12,1.60E-26,3.22E+03,9.72E+02,2.99E+03
38,1.80E+02,1.80E+02,1.79E+02,-3.81E+02,2.81E+01,7.15E+02,0.208091309,5.0332E-11,1.08E-26,3.86E+03,-3.92E+03,2.89E+03
40,9.67E+01,9.67E+01,1.02E+02,1.21E+02,5.90E+00,3.64E+02,0.195449101,2.8027E-09,7.25E-27,-3.81E+03,-2.79E+03,3.25E+03
37,9.36E+01,9.36E+01,1.12E+02,-3.34E+02,3.32E+01,-1.28E+02,0.125778666,1.32327E-10,1.03E-26,-1.32E+03,6.59E+02,-3.61E+03
40,1.74E+02,1.74E+02,-1.72E+02,5.91E+02,1.75E+01,3.85E+03,0.13093928,1.41023E-12,9.30E-27,3.47E+03,-3.71E+03,-3.68E+03
39,1.85E+02,1.85E+02,1.83E+02,-6.48E+02,2.24E+01,2.77E+03,0.180633499,7.78441E-14,1.28E-26,3.68E+03,-3.78E+03,-2.28E+03
40,9.65E+01,9.65E+01,1.00E+02,1.14E+02,7.45E+00,3.73E+02,0.110927141,1.39585E-09,1.03E-26,3.20E+03,1.13E+03,1.50E+03
40,1.82E+02,1.82E+02,1.80E+02,2.53E+02,1.28E+01,1.06E+03,0.220354466,4.07474E-11,1.04E-26,2.21E+03,1.09E+03,-1.53E+03
37,1.77E+02,1.77E+02,-1.74E+02,4.38E+02,1.26E+01,1.94E+03,0.180459243,3.67348E-12,1.08E-26,-2.94E+03,1.16E+03,2.24E+03
38,9.08E+01,9.08E+01,9.36E+01,1.04E+02,6.92E+00,4.34E+02,8.73E-02,7.091E-10,7.25E-27,3.21E+03,1.12E+03,1.66E+03
39,1.83E+02,1.83E+02,1.83E+02,-2.67E+02,1.29E+01,6.72E+02,0.212721208,1.01695E-10,1.09E-26,3.78E+03,-3.97E+03,2.83E+03
39,1.83E+02,1.83E+02,-1.82E+02,-2.19E+02,1.33E+01,4.91E+02,0.130642442,2.84643E-11,1.38E-26,3.54E+03,2.74E+03,-2.26E+03
40,9.33E+01,9.33E+01,9.72E+01,1.07E+02,5.46E+00,4.57E+02,7.13E-02,6.47758E-10,1.10E-26,-3.82E+03,-2.83E+03,3.07E+03
37,1.78E+02,1.78E+02,1.76E+02,-4.01E+02,2.60E+01,1.57E+03,9.45E-02,5.20135E-13,1.65E-26,3.15E+03,-3.63E+03,-3.44E+03
38,1.76E+02,1.76E+02,1.74E+02,-3.47E+02,4.17E+01,1.50E+03,0.186212054,1.28016E-12,1.04E-26,3.19E+03,-3.89E+03,-3.34E+03
38,1.83E+02,1.83E+02,1.82E+02,-3.15E+02,1.17E+01,7.22E+02,0.204313759,9.51248E-11,1.13E-26,3.12E+03,-3.73E+03,-3.51E+03
38,1.82E+02,1.82E+02,1.81E+02,-7.06E+02,1.38E+01,1.28E+03,8.85E-02,3.67196E-12,1.92E-26,3.20E+03,3.15E+03,3.30E+03
39,9.50E+01,9.50E+01,9.83E+01,1.09E+02,5.86E+00,4.30E+02,6.85E-02,6.55289E-10,1.31E-26,3.64E+03,3.76E+03,-3.24E+03
39,1.77E+02,1.77E+02,-1.81E+02,-5.21E+02,5.72E+00,2.57E+02,0.175389629,3.05777E-10,1.13E-26,3.59E+03,-4.87E+02,1.90E+03
37,1.80E+02,1.80E+02,-1.78E+02,2.91E+02,1.96E+01,5.68E+02,0.183477217,8.24857E-12,1.17E-26,3.12E+03,1.31E+03,3.16E+03
37,1.80E+02,1.80E+02,-1.80E+02,-2.41E+02,1.22E+01,3.58E+02,9.49E-02,1.60776E-10,1.62E-26,3.55E+03,2.72E+03,-2.33E+03
39,1.83E+02,1.83E+02,-1.82E+02,-3.74E+02,1.93E+01,6.45E+02,0.186237547,5.17753E-12,1.21E-26,2.92E+03,1.50E+03,3.16E+03
38,9.49E+01,9.49E+01,9.84E+01,1.12E+02,6.23E+00,4.08E+02,0.142676197,1.5584E-09,7.35E-27,3.28E+03,1.07E+03,1.79E+03
38,9.46E+01,9.46E+01,9.93E+01,1.16E+02,7.21E+00,3.52E+02,0.150096893,1.92118E-09,8.36E-27,-3.84E+03,-2.77E+03,3.12E+03
37,1.80E+02,1.80E+02,1.78E+02,-4.84E+02,1.93E+01,2.09E+03,0.152337211,5.24368E-13,1.38E-26,4.09E+03,1.85E+03,3.60E+03
36,9.22E+01,9.22E+01,9.66E+01,1.09E+02,5.04E+00,4.34E+02,8.47E-02,1.02348E-09,1.11E-26,-3.77E+03,-2.77E+03,3.10E+03
40,1.86E+02,1.86E+02,1.84E+02,-4.92E+02,1.13E+01,4.10E+03,9.78E-02,5.57037E-15,1.59E-26,-4.03E+03,1.96E+03,2.88E+03
39,1.84E+02,1.84E+02,-1.81E+02,-3.81E+02,7.35E+00,6.89E+02,0.195852113,1.57528E-12,1.13E-26,3.61E+03,3.63E+03,3.23E+03
39,9.15E+01,9.15E+01,9.50E+01,1.06E+02,6.44E+00,4.33E+02,0.117437801,8.71494E-10,6.28E-27,-3.76E+03,-2.81E+03,3.07E+03
36,9.19E+01,9.19E+01,9.60E+01,1.12E+02,6.28E+00,3.59E+02,0.122003908,1.65393E-09,9.63E-27,3.63E+03,3.80E+03,-3.20E+03
39,1.84E+02,1.84E+02,1.84E+02,-3.03E+02,4.31E+01,4.85E+02,0.138583838,1.69339E-10,1.64E-26,3.20E+03,-3.74E+03,-3.56E+03
36,9.09E+01,9.09E+01,9.48E+01,1.07E+02,7.77E+00,3.81E+02,0.121986601,1.08816E-09,6.95E-27,-3.76E+03,-2.72E+03,3.12E+03
39,9.63E+01,9.63E+01,9.97E+01,1.11E+02,7.84E+00,3.87E+02,7.64E-02,8.49419E-10,1.25E-26,3.22E+03,1.16E+03,1.72E+03
35,8.79E+01,8.79E+01,9.16E+01,1.05E+02,8.74E+00,3.47E+02,0.118018434,1.519E-09,6.46E-27,3.21E+03,1.10E+03,1.75E+03
37,9.17E+01,9.17E+01,9.51E+01,1.05E+02,6.35E+00,4.56E+02,9.45E-02,6.22812E-10,6.78E-27,-3.84E+03,-2.86E+03,3.02E+03
39,8.88E+01,8.88E+01,9.26E+01,1.07E+02,6.68E+00,3.76E+02,0.154068734,1.85476E-09,5.65E-27,3.22E+03,1.24E+03,1.76E+03
37,8.99E+01,8.99E+01,9.35E+01,1.07E+02,7.22E+00,3.77E+02,0.137200604,1.62457E-09,6.41E-27,3.14E+03,1.07E+03,1.72E+03
39,9.60E+01,9.60E+01,1.01E+02,1.13E+02,5.21E+00,4.12E+02,6.88E-02,9.95057E-10,1.63E-26,-3.79E+03,-2.74E+03,2.98E+03
38,8.65E+01,8.65E+01,9.12E+01,1.05E+02,6.31E+00,3.67E+02,0.129483633,1.68908E-09,5.61E-27,-3.87E+03,-2.82E+03,3.07E+03
36,1.77E+02,1.77E+02,1.76E+02,-3.53E+02,3.35E+01,5.65E+02,0.129747948,8.04642E-11,1.41E-26,3.04E+03,-3.81E+03,-3.48E+03
37,9.26E+01,9.26E+01,9.63E+01,1.06E+02,5.14E+00,4.89E+02,8.62E-02,6.61035E-10,8.07E-27,-3.85E+03,-2.88E+03,3.07E+03
37,9.26E+01,9.26E+01,9.63E+01,1.08E+02,7.43E+00,3.76E+02,8.14E-02,1.03075E-09,1.16E-26,3.32E+03,1.10E+03,1.78E+03
40,9.66E+01,9.66E+01,1.00E+02,1.14E+02,8.00E+00,3.56E+02,8.92E-02,1.0484E-09,1.32E-26,3.60E+03,3.79E+03,-3.20E+03
40,9.21E+01,9.21E+01,9.64E+01,1.07E+02,9.83E+00,3.31E+02,5.43E-02,7.82016E-10,1.83E-26,-3.66E+03,-2.03E+03,-1.39E+03
39,1.85E+02,1.85E+02,1.83E+02,-2.74E+02,3.65E+01,8.37E+02,0.133439948,1.71749E-11,1.64E-26,3.04E+03,3.13E+03,3.04E+03
38,9.42E+01,9.42E+01,9.88E+01,1.16E+02,8.08E+00,3.39E+02,0.181427906,2.20681E-09,6.97E-27,-3.76E+03,-2.82E+03,3.08E+03
38,1.81E+02,1.81E+02,1.79E+02,2.09E+02,6.93E+00,1.78E+03,0.101572932,3.93975E-12,1.63E-26,-3.47E+03,3.39E+03,-3.03E+03
35,8.99E+01,8.99E+01,9.38E+01,1.05E+02,6.05E+00,4.22E+02,0.110749385,9.95918E-10,6.84E-27,-3.92E+03,-2.75E+03,3.26E+03
39,1.82E+02,1.82E+02,1.84E+02,2.26E+02,1.27E+01,4.56E+02,0.178637354,7.80339E-10,1.28E-26,2.77E+03,-3.46E+03,2.65E+03
39,9.60E+01,9.60E+01,1.01E+02,1.19E+02,8.08E+00,3.33E+02,0.196599201,2.52964E-09,6.99E-27,-3.79E+03,-2.85E+03,3.10E+03
37,1.77E+02,1.77E+02,1.77E+02,-3.40E+02,2.14E+01,7.09E+02,0.170838629,4.995E-11,1.21E-26,3.23E+03,-3.69E+03,-3.50E+03
38,1.83E+02,1.83E+02,1.83E+02,-3.60E+02,1.78E+01,4.35E+02,0.175727997,3.83308E-10,1.32E-26,3.86E+03,-3.74E+03,2.85E+03
37,9.34E+01,9.34E+01,9.58E+01,1.09E+02,5.09E+00,-1.69E+02,9.40E-02,3.31711E-10,8.88E-27,-3.87E+03,-2.74E+03,3.15E+03
40,9.64E+01,9.64E+01,1.00E+02,1.10E+02,6.90E+00,4.22E+02,8.01E-02,6.63555E-10,1.06E-26,-3.74E+03,-2.80E+03,3.12E+03
38,9.24E+01,9.24E+01,9.58E+01,1.09E+02,7.07E+00,3.96E+02,0.142235555,1.42373E-09,6.50E-27,3.09E+03,1.18E+03,1.68E+03
38,9.14E+01,9.14E+01,9.55E+01,1.10E+02,6.86E+00,3.83E+02,0.150306293,1.49448E-09,6.46E-27,-3.79E+03,-2.80E+03,3.05E+03
38,9.00E+01,9.00E+01,9.34E+01,1.04E+02,7.87E+00,4.08E+02,0.105675172,7.3325E-10,6.10E-27,-3.80E+03,-2.77E+03,3.21E+03
38,1.81E+02,1.81E+02,1.80E+02,-3.18E+02,1.77E+01,6.57E+02,0.141359679,5.48483E-11,1.52E-26,3.80E+03,-3.94E+03,2.82E+03
39,1.82E+02,1.82E+02,1.80E+02,-2.36E+02,2.20E+01,1.89E+03,0.207182352,1.23435E-12,1.10E-26,3.15E+03,-3.81E+03,-3.70E+03
35,9.07E+01,9.07E+01,9.44E+01,1.10E+02,7.25E+00,3.59E+02,0.148028338,1.61465E-09,6.98E-27,3.56E+03,3.81E+03,-3.32E+03
39,9.29E+01,9.29E+01,9.77E+01,1.16E+02,6.86E+00,3.48E+02,0.1974963,2.6026E-09,6.43E-27,-3.83E+03,-2.77E+03,3.09E+03
36,9.04E+01,9.04E+01,9.36E+01,1.05E+02,6.90E+00,4.10E+02,0.113573895,1.07771E-09,6.65E-27,3.18E+03,1.10E+03,1.73E+03
40,1.86E+02,1.86E+02,1.83E+02,3.68E+02,1.60E+01,2.15E+03,0.196343722,7.45751E-12,1.20E-26,1.99E+03,7.13E+02,-1.75E+03
40,9.68E+01,9.68E+01,1.00E+02,1.12E+02,8.51E+00,3.62E+02,6.63E-02,6.04727E-10,1.59E-26,3.61E+03,3.83E+03,-3.30E+03
39,1.85E+02,1.85E+02,1.83E+02,-2.63E+02,1.39E+01,4.81E+03,0.161235375,5.08165E-14,1.38E-26,-3.03E+03,-7.95E+02,-3.74E+03
36,8.91E+01,8.91E+01,9.33E+01,1.04E+02,6.45E+00,4.01E+02,7.93E-02,8.31373E-10,9.11E-27,-3.78E+03,-2.76E+03,3.29E+03
40,9.68E+01,9.68E+01,1.01E+02,1.19E+02,7.40E+00,3.52E+02,0.191388548,2.29396E-09,7.00E-27,-3.78E+03,-2.89E+03,3.19E+03
38,1.81E+02,1.81E+02,-1.79E+02,4.40E+02,5.59E+00,4.45E+02,0.194370685,5.73962E-13,1.11E-26,3.68E+03,-3.88E+03,-3.57E+03
36,1.77E+02,1.77E+02,1.75E+02,-4.80E+02,1.57E+01,1.87E+03,8.66E-02,2.88E-13,1.60E-26,3.73E+03,-3.93E+03,2.84E+03
39,1.85E+02,1.85E+02,1.86E+02,3.72E+02,2.34E+01,4.22E+02,6.61E-02,2.17995E-10,2.45E-26,2.63E+03,-3.17E+03,2.67E+03
39,1.76E+02,1.76E+02,-1.74E+02,4.55E+02,4.90E+01,1.20E+03,0.181579274,3.36814E-12,9.69E-27,3.04E+03,1.34E+03,3.11E+03
37,9.43E+01,9.43E+01,1.14E+02,-2.88E+02,1.82E+01,-1.22E+02,6.48E-02,7.25584E-10,1.87E-26,-1.36E+03,6.67E+02,-3.57E+03
40,1.84E+02,1.84E+02,1.85E+02,2.34E+02,8.45E+00,5.58E+02,0.213635528,4.97204E-10,1.08E-26,-3.49E+03,3.55E+03,-3.12E+03
38,1.80E+02,1.80E+02,1.79E+02,-4.44E+02,4.18E+01,7.03E+02,0.205004055,5.64876E-11,1.09E-26,3.07E+03,-3.79E+03,-3.50E+03
40,9.67E+01,9.67E+01,1.00E+02,1.13E+02,6.24E+00,4.07E+02,9.89E-02,1.17447E-09,1.07E-26,3.24E+03,1.11E+03,1.75E+03
39,1.79E+02,1.79E+02,1.78E+02,-2.82E+02,1.77E+01,7.91E+02,0.215116638,4.2759E-11,1.01E-26,3.77E+03,-3.98E+03,2.83E+03
38,1.80E+02,1.80E+02,-1.78E+02,3.73E+02,2.30E+01,1.77E+03,0.12919877,2.25295E-12,1.45E-26,3.10E+03,1.23E+03,3.38E+03
37,1.79E+02,1.79E+02,1.77E+02,-4.22E+02,1.56E+01,1.20E+03,0.12497375,4.82307E-12,1.52E-26,3.80E+03,-3.79E+03,2.98E+03
39,9.60E+01,9.60E+01,1.00E+02,1.13E+02,8.41E+00,3.50E+02,7.74E-02,1.14925E-09,1.49E-26,3.21E+03,1.19E+03,1.61E+03
39,1.84E+02,1.84E+02,1.81E+02,2.50E+02,1.48E+01,1.67E+03,0.18050397,9.2218E-12,1.28E-26,2.11E+03,8.85E+02,-1.63E+03
40,1.85E+02,1.85E+02,1.88E+02,-2.96E+02,2.10E+01,3.34E+02,0.134031554,9.7066E-10,1.78E-26,3.33E+03,-3.80E+03,-3.39E+03
35,9.03E+01,9.03E+01,9.46E+01,1.08E+02,5.01E+00,4.13E+02,9.83E-02,1.37108E-09,9.77E-27,-3.68E+03,-2.06E+03,-1.37E+03
40,1.86E+02,1.86E+02,1.85E+02,-2.39E+02,2.51E+01,6.83E+02,9.37E-02,3.01742E-11,1.99E-26,3.15E+03,-3.86E+03,-3.64E+03
39,9.62E+01,9.62E+01,9.98E+01,1.15E+02,6.42E+00,3.89E+02,0.138713459,1.71941E-09,8.46E-27,3.20E+03,1.13E+03,1.48E+03
39,9.59E+01,9.59E+01,9.93E+01,1.14E+02,6.34E+00,4.02E+02,0.153174764,1.67228E-09,7.20E-27,3.22E+03,1.12E+03,1.56E+03
40,8.91E+01,8.91E+01,9.27E+01,1.03E+02,5.31E+00,4.85E+02,8.95E-02,6.48558E-10,6.24E-27,-3.93E+03,-2.89E+03,3.12E+03
38,9.23E+01,9.23E+01,9.60E+01,1.06E+02,5.47E+00,4.74E+02,8.31E-02,6.45685E-10,8.34E-27,-3.78E+03,-2.80E+03,3.12E+03
38,1.82E+02,1.82E+02,1.80E+02,-3.25E+02,3.96E+01,1.38E+03,0.182808028,2.47632E-12,1.22E-26,-3.54E+03,3.85E+03,-3.50E+03
36,9.20E+01,9.20E+01,9.61E+01,1.08E+02,6.35E+00,3.88E+02,6.67E-02,8.67174E-10,1.42E-26,-3.72E+03,-1.94E+03,-1.33E+03
37,1.80E+02,1.80E+02,1.78E+02,-2.12E+02,3.40E+01,1.11E+03,0.18714234,6.41513E-12,1.17E-26,3.80E+03,-3.96E+03,2.89E+03
36,9.32E+01,9.32E+01,1.09E+02,-2.94E+02,2.79E+01,-1.30E+02,0.159942292,4.30796E-10,7.69E-27,-1.30E+03,6.62E+02,-3.60E+03
39,1.85E+02,1.85E+02,-1.84E+02,-6.44E+02,6.02E+01,9.29E+02,0.166017889,7.15908E-13,1.33E-26,3.13E+03,-1.51E+03,2.81E+03
40,1.87E+02,1.87E+02,1.87E+02,-4.03E+02,6.86E+00,7.29E+02,0.15930275,1.22883E-10,1.49E-26,3.71E+03,1.81E+03,3.43E+03
37,1.79E+02,1.79E+02,1.78E+02,-4.31E+02,6.44E+00,2.54E+03,0.175665574,2.63389E-12,1.16E-26,-3.65E+03,1.59E+03,2.76E+03
38,1.81E+02,1.81E+02,1.83E+02,-2.41E+02,2.61E+01,3.65E+02,0.139047567,6.16677E-10,1.64E-26,3.15E+03,-3.70E+03,-3.59E+03
37,1.78E+02,1.78E+02,1.76E+02,-5.54E+02,1.15E+01,2.20E+03,0.11617404,5.211E-13,1.50E-26,3.87E+03,-3.67E+03,-2.34E+03
40,1.87E+02,1.87E+02,-1.85E+02,-1.43E+03,1.49E+01,5.03E+02,0.180726238,4.05526E-11,1.25E-26,2.41E+03,-2.85E+03,-2.23E+03
37,1.76E+02,1.76E+02,-1.75E+02,4.68E+02,3.00E+01,8.74E+02,0.170534449,3.59525E-13,1.07E-26,3.14E+03,1.32E+03,3.21E+03
38,9.23E+01,9.23E+01,9.62E+01,1.13E+02,1.03E+01,3.25E+02,0.171186993,2.31183E-09,6.63E-27,3.24E+03,1.12E+03,1.83E+03
37,9.35E+01,9.35E+01,9.78E+01,1.10E+02,6.52E+00,3.91E+02,9.35E-02,1.0477E-09,1.07E-26,-3.78E+03,-2.74E+03,3.08E+03
37,1.78E+02,1.78E+02,1.75E+02,-5.53E+02,1.63E+01,2.62E+03,9.68E-02,9.82092E-15,1.55E-26,3.80E+03,-3.74E+03,-2.58E+03
36,9.20E+01,9.20E+01,9.54E+01,1.07E+02,5.95E+00,4.25E+02,0.107829239,1.14944E-09,7.98E-27,3.22E+03,1.05E+03,1.75E+03
40,9.70E+01,9.70E+01,9.97E+01,1.10E+02,7.11E+00,4.40E+02,9.42E-02,7.24116E-10,8.09E-27,3.19E+03,1.09E+03,1.69E+03
39,9.13E+01,9.13E+01,9.53E+01,1.09E+02,6.02E+00,4.09E+02,0.15318741,1.47742E-09,6.08E-27,-3.76E+03,-2.81E+03,3.21E+03
35,9.04E+01,9.04E+01,9.46E+01,1.07E+02,5.13E+00,4.41E+02,0.116683985,1.20476E-09,7.16E-27,-3.71E+03,-2.75E+03,3.12E+03
35,1.74E+02,1.74E+02,1.74E+02,-3.81E+02,2.44E+01,5.85E+02,0.106284911,6.05412E-11,1.17E-26,3.14E+03,-3.76E+03,-3.60E+03
36,9.11E+01,9.11E+01,9.56E+01,1.07E+02,7.77E+00,3.57E+02,6.91E-02,8.79106E-10,1.35E-26,-3.83E+03,-2.72E+03,3.11E+03
39,1.83E+02,1.83E+02,-1.83E+02,2.25E+02,2.13E+01,4.64E+02,0.202607293,5.61749E-11,1.13E-26,3.09E+03,1.38E+03,3.11E+03
37,9.33E+01,9.33E+01,9.83E+01,1.17E+02,8.36E+00,3.20E+02,0.180670084,2.59077E-09,7.37E-27,-3.81E+03,-2.71E+03,3.12E+03
38,1.74E+02,1.74E+02,1.72E+02,3.28E+02,2.01E+01,1.01E+03,9.37E-02,1.72071E-11,1.01E-26,2.20E+03,9.15E+02,-1.53E+03
36,1.76E+02,1.76E+02,1.75E+02,-4.09E+02,2.66E+01,8.12E+02,0.138630252,2.10375E-11,1.25E-26,2.93E+03,3.04E+03,2.90E+03
38,1.82E+02,1.82E+02,1.83E+02,-2.67E+02,1.14E+01,4.35E+02,7.94E-02,1.97182E-10,2.27E-26,3.82E+03,-3.94E+03,2.83E+03
37,1.74E+02,1.74E+02,1.75E+02,-5.19E+02,8.51E+00,5.04E+02,0.119256462,2.03517E-10,1.04E-26,-3.80E+03,2.03E+03,2.52E+03
37,1.79E+02,1.79E+02,1.78E+02,-3.25E+02,3.63E+01,8.26E+02,0.184550131,2.15025E-11,1.18E-26,3.83E+03,-3.87E+03,2.88E+03
